# theta_degrees,signal_power,noise_variance,fisher_ratio
-1.200000000000000000e+01,2.657702024503612925e+00,2.700929295682311437e+00,9.839954080812847170e-01
-1.100000000000000000e+01,2.676644242453871669e+00,2.713052315170477069e+00,9.865804015230286161e-01
-1.000000000000000000e+01,2.694017528869317335e+00,2.724171218476362899e+00,9.889310593245638215e-01
-9.000000000000000000e+00,2.709800717076602528e+00,2.734272458929026151e+00,9.910499987766365759e-01
-8.000000000000000000e+00,2.723974577692109822e+00,2.743343729722952151e+00,9.929395825171356549e-01
-7.000000000000000000e+00,2.736521842049994824e+00,2.751373978911995977e+00,9.946019199949421852e-01
-6.000000000000000000e+00,2.747427223241396987e+00,2.758353422874494143e+00,9.960388688619492559e-01
-5.000000000000000000e+00,2.756677434739178256e+00,2.764273558233073746e+00,9.972520362641854597e-01
-4.000000000000000000e+00,2.764261206585514330e+00,2.769127172214728816e+00,9.982427800073470081e-01
-3.000000000000000000e+00,2.770169299122601458e+00,2.772908351438465591e+00,9.990122095761141408e-01
-2.000000000000000000e+00,2.774394514249756138e+00,2.775612489119843040e+00,9.995611869903089364e-01
-1.000000000000000000e+00,2.776931704193189354e+00,2.777236290683641862e+00,9.998903274843864430e-01
0.000000000000000000e+00,2.777777777777778123e+00,2.777777777777778123e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.776931704193189354e+00,2.777236290683641862e+00,9.998903274843864430e-01
2.000000000000000000e+00,2.774394514249756138e+00,2.775612489119843040e+00,9.995611869903089364e-01
3.000000000000000000e+00,2.770169299122601458e+00,2.772908351438465591e+00,9.990122095761141408e-01
4.000000000000000000e+00,2.764261206585514330e+00,2.769127172214728816e+00,9.982427800073470081e-01
5.000000000000000000e+00,2.756677434739178256e+00,2.764273558233073746e+00,9.972520362641854597e-01
6.000000000000000000e+00,2.747427223241396987e+00,2.758353422874494143e+00,9.960388688619492559e-01
7.000000000000000000e+00,2.736521842049994824e+00,2.751373978911995977e+00,9.946019199949421852e-01
8.000000000000000000e+00,2.723974577692109822e+00,2.743343729722952151e+00,9.929395825171356549e-01
9.000000000000000000e+00,2.709800717076602528e+00,2.734272458929026151e+00,9.910499987766365759e-01
1.000000000000000000e+01,2.694017528869317335e+00,2.724171218476362899e+00,9.889310593245638215e-01
1.100000000000000000e+01,2.676644242453871669e+00,2.713052315170477069e+00,9.865804015230286161e-01
1.200000000000000000e+01,2.657702024503612925e+00,2.700929295682311437e+00,9.839954080812847170e-01
1.300000000000000000e+01,2.637213953193287885e+00,2.687816930043704922e+00,9.811732055539980069e-01
1.400000000000000000e+01,2.615204990081843039e+00,2.673731193652380878e+00,9.781106628409456105e-01
1.500000000000000000e+01,2.591701949700609298e+00,2.658689247808390110e+00,9.748043897333997787e-01
1.600000000000000000e+01,2.566733466883925008e+00,2.642709418805712307e+00,9.712507355590679348e-01
1.700000000000000000e+01,2.540329961882002330e+00,2.625811175604481296e+00,9.674457879848117337e-01
1.800000000000000000e+01,2.512523603298537633e+00,2.608015106111063908e+00,9.633853720445207935e-01
1.900000000000000000e+01,2.483348268898225353e+00,2.589342892094863124e+00,9.590650494686376870e-01
2.000000000000000000e+01,2.452839504331914444e+00,2.569817282772423717e+00,9.544801184019165996e-01
2.100000000000000000e+01,2.421034479829713870e+00,2.549462067091017303e+00,9.496256136072493970e-01
2.200000000000000000e+01,2.387971944914793365e+00,2.528302044745470045e+00,9.444963072658496550e-01
2.300000000000000000e+01,2.353692181193051791e+00,2.506362995963553608e+00,9.390867104978907198e-01
2.400000000000000000e+01,2.318236953276191947e+00,2.483671650096762384e+00,9.333910757429931815e-01
2.500000000000000000e+01,2.281649457897971356e+00,2.460255653054701064e+00,9.274034001568215446e-01
2.600000000000000000e+01,2.243974271285637201e+00,2.436143533622808111e+00,9.211174301986244650e-01
2.700000000000000000e+01,2.205257294850657246e+00,2.411364668704421010e+00,9.145266676049867982e-01
2.800000000000000000e+01,2.165545699264926682e+00,2.385949247529553841e+00,9.076243769674329220e-01
2.900000000000000000e+01,2.124887866990562646e+00,2.359928234873960751e+00,9.004035951559555828e-01
3.000000000000000000e+01,2.083333333333333925e+00,2.333333333333332593e+00,8.928571428571433488e-01
3.100000000000000000e+01,2.040932726091515548e+00,2.306196944698569062e+00,8.849776385243954824e-01
3.200000000000000000e+01,1.997737703873718518e+00,2.278552130479180260e+00,8.767575150688317054e-01
3.300000000000000000e+01,1.953800893160833718e+00,2.250432571622933864e+00,8.681890396528612053e-01
3.400000000000000000e+01,1.909175824188766857e+00,2.221872527480812209e+00,8.592643369840010648e-01
3.500000000000000000e+01,1.863916865730095740e+00,2.192906794067261966e+00,8.499754165442768850e-01
3.600000000000000000e+01,1.818079158854093658e+00,2.163570661666619710e+00,8.403142042301541270e-01
3.700000000000000000e+01,1.771718549745832316e+00,2.133899871837332540e+00,8.302725789192467731e-01
3.800000000000000000e+01,1.724891521666205296e+00,2.103930573866371834e+00,8.198424145224476600e-01
3.900000000000000000e+01,1.677655126135777053e+00,2.073699280726897687e+00,8.090156281231410951e-01
4.000000000000000000e+01,1.630066913426292174e+00,2.043242824592826690e+00,7.977842348479204926e-01
4.100000000000000000e+01,1.582184862444535600e+00,2.012598311964501896e+00,7.861404101547523338e-01
4.200000000000000000e+01,1.534067310093963465e+00,1.981803078460136369e+00,7.740765602634626097e-01
4.300000000000000000e+01,1.485772880200174173e+00,1.950894643328110689e+00,7.615854014881775491e-01
4.400000000000000000e+01,1.437360412086807315e+00,1.919910663735556522e+00,7.486600492598678436e-01
4.500000000000000000e+01,1.388888888888889062e+00,1.888888888888887729e+00,7.352941176470593199e-01
4.600000000000000000e+01,1.340417365690970808e+00,1.857867114042221601e+00,7.214818301910632670e-01
4.700000000000000000e+01,1.292004897577603728e+00,1.826883134449667434e+00,7.072181428653939728e-01
4.800000000000000000e+01,1.243710467683814658e+00,1.795974699317641310e+00,6.924988799432125752e-01
4.900000000000000000e+01,1.195592915333242301e+00,1.765179465813275783e+00,6.773208835071019562e-01
5.000000000000000000e+01,1.147710864351485727e+00,1.734534953184950545e+00,6.616821772568265425e-01
5.100000000000000000e+01,1.100122651642000848e+00,1.704078497050879992e+00,6.455821451569866420e-01
5.200000000000000000e+01,1.052886256111572827e+00,1.673847203911406289e+00,6.290217253111355378e-01
5.300000000000000000e+01,1.006059228031945585e+00,1.643877905940445139e+00,6.120036192446967060e-01
5.400000000000000000e+01,9.596986189236842435e-01,1.614207116111157969e+00,5.945325165185291194e-01
5.500000000000000000e+01,9.138609120476821612e-01,1.584870983710516601e+00,5.766153342703904672e-01
5.600000000000000000e+01,8.686019535890109333e-01,1.555905250296967468e+00,5.582614708853418373e-01
5.700000000000000000e+01,8.239768846169441829e-01,1.527345206154844703e+00,5.394830725212018674e-01
5.800000000000000000e+01,7.800400739040589393e-01,1.499225647298597641e+00,5.202953106555947560e-01
5.900000000000000000e+01,7.368450516862626865e-01,1.471580833079208839e+00,5.007166681727238666e-01
6.000000000000000000e+01,6.944444444444448639e-01,1.444444444444444198e+00,4.807692307692311151e-01
6.100000000000000000e+01,6.528899107872155883e-01,1.417849542903817373e+00,4.604789796314133210e-01
6.200000000000000000e+01,6.122320785128518850e-01,1.391828530248225171e+00,4.398760804275678726e-01
6.300000000000000000e+01,5.725204829271209883e-01,1.366413109073357335e+00,4.189951626820821451e-01
6.400000000000000000e+01,5.338035064921413664e-01,1.341634244154970235e+00,3.978755825723262474e-01
6.500000000000000000e+01,4.961283198798065452e-01,1.317522124723076171e+00,3.765616611440855133e-01
6.600000000000000000e+01,4.595408245015858428e-01,1.294106127681014851e+00,3.551028889145778078e-01
6.700000000000000000e+01,4.240855965847259990e-01,1.271414781814224515e+00,3.335540868728802955e-01
6.800000000000000000e+01,3.898058328629843694e-01,1.249475733032309410e+00,3.119755130553660827e-01
6.900000000000000000e+01,3.567432979480638089e-01,1.228315710686760820e+00,2.904329032383750064e-01
7.000000000000000000e+01,3.249382734458640121e-01,1.207960495005352630e+00,2.689974339305062911e-01
7.100000000000000000e+01,2.944295088795529924e-01,1.188434885682913444e+00,2.477455958475707209e-01
7.200000000000000000e+01,2.652541744792398237e-01,1.169762671666713327e+00,2.267589665015533607e-01
7.300000000000000000e+01,2.374478158957755158e-01,1.151966602173296605e+00,2.061238715148574763e-01
7.400000000000000000e+01,2.110443108938527823e-01,1.135068358972065816e+00,1.859309258562872325e-01
7.500000000000000000e+01,1.860758280771685202e-01,1.119088529969387791e+00,1.662744484408740508e-01
7.600000000000000000e+01,1.625727876959347229e-01,1.104046584125397912e+00,1.472517464693044731e-01
7.700000000000000000e+01,1.405638245844901824e-01,1.089960847734074090e+00,1.289622694950090520e-01
7.800000000000000000e+01,1.200757532741655587e-01,1.076848482095466242e+00,1.115066374430942753e-01
7.900000000000000000e+01,1.011335353239064955e-01,1.064725462607300166e+00,9.498555155828682095e-02
8.000000000000000000e+01,8.376024890846063553e-02,1.053606559301414780e+00,7.949860236633035648e-02
8.100000000000000000e+01,6.797706070117565114e-02,1.043505318848752417e+00,6.514299397742540076e-02
8.200000000000000000e+01,5.380320008566826656e-02,1.034434048054827748e+00,5.201220917548196598e-02
8.300000000000000000e+01,4.125593572778268880e-02,1.026403798865780814e+00,4.019464442100879192e-02
8.400000000000000000e+01,3.035055453638104903e-02,1.019424354903283980e+00,2.977224782829570801e-02
8.500000000000000000e+01,2.110034303859990162e-02,1.013504219544703933e+00,2.081919604447113326e-02
8.600000000000000000e+01,1.351657119226342720e-02,1.008650605563048419e+00,1.340064747665343885e-02
8.700000000000000000e+01,7.608478655175960476e-03,1.004869426339312755e+00,7.571609261606509003e-03
8.800000000000000000e+01,3.383263528021899277e-03,1.002165288657933973e+00,3.375953613951898115e-03
8.900000000000000000e+01,8.460735845892723098e-04,1.000541487094136928e+00,8.456156946040446114e-04
9.000000000000000000e+01,1.041499849070734541e-32,9.999999999999996669e-01,1.041499849070734952e-32
